id,lat,lon,Date,Value
"('Afghanistan', 'Total')",33.0,65.0,2020-01-22,0
"('Albania', 'Total')",41.1533,20.1683,2020-01-22,0
"('Algeria', 'Total')",28.0339,1.6596,2020-01-22,0
"('Andorra', 'Total')",42.5063,1.5218,2020-01-22,0
"('Angola', 'Total')",-11.2027,17.8739,2020-01-22,0
"('Antigua and Barbuda', 'Total')",17.0608,-61.7964,2020-01-22,0
"('Argentina', 'Total')",-38.4161,-63.6167,2020-01-22,0
"('Armenia', 'Total')",40.0691,45.0382,2020-01-22,0
"('Australia', 'Australian Capital Territory')",-35.4735,149.0124,2020-01-22,0
"('Australia', 'New South Wales')",-33.8688,151.2093,2020-01-22,0
"('Australia', 'Northern Territory')",-12.4634,130.8456,2020-01-22,0
"('Australia', 'Queensland')",-28.0167,153.4,2020-01-22,0
"('Australia', 'South Australia')",-34.9285,138.6007,2020-01-22,0
"('Australia', 'Tasmania')",-41.4545,145.9707,2020-01-22,0
"('Australia', 'Victoria')",-37.8136,144.9631,2020-01-22,0
"('Australia', 'Western Australia')",-31.9505,115.8605,2020-01-22,0
"('Austria', 'Total')",47.5162,14.5501,2020-01-22,0
"('Azerbaijan', 'Total')",40.1431,47.5769,2020-01-22,0
"('Bahamas', 'Total')",25.0343,-77.3963,2020-01-22,0
"('Bahrain', 'Total')",26.0275,50.55,2020-01-22,0
"('Bangladesh', 'Total')",23.685,90.3563,2020-01-22,0
"('Barbados', 'Total')",13.1939,-59.5432,2020-01-22,0
"('Belarus', 'Total')",53.7098,27.9534,2020-01-22,0
"('Belgium', 'Total')",50.8333,4.0,2020-01-22,0
"('Benin', 'Total')",9.3077,2.3158,2020-01-22,0
"('Bhutan', 'Total')",27.5142,90.4336,2020-01-22,0
"('Bolivia', 'Total')",-16.2902,-63.5887,2020-01-22,0
"('Bosnia and Herzegovina', 'Total')",43.9159,17.6791,2020-01-22,0
"('Brazil', 'Total')",-14.235,-51.9253,2020-01-22,0
"('Brunei', 'Total')",4.5353,114.7277,2020-01-22,0
"('Bulgaria', 'Total')",42.7339,25.4858,2020-01-22,0
"('Burkina Faso', 'Total')",12.2383,-1.5616,2020-01-22,0
"('Cabo Verde', 'Total')",16.5388,-23.0418,2020-01-22,0
"('Cambodia', 'Total')",11.55,104.9167,2020-01-22,0
"('Cameroon', 'Total')",3.848,11.5021,2020-01-22,0
"('Canada', 'Alberta')",53.9333,-116.5765,2020-01-22,0
"('Canada', 'British Columbia')",49.2827,-123.1207,2020-01-22,0
"('Canada', 'Manitoba')",53.7609,-98.8139,2020-01-22,0
"('Canada', 'New Brunswick')",46.5653,-66.4619,2020-01-22,0
"('Canada', 'Newfoundland and Labrador')",53.1355,-57.6604,2020-01-22,0
"('Canada', 'Nova Scotia')",44.682,-63.7443,2020-01-22,0
"('Canada', 'Ontario')",51.2538,-85.3232,2020-01-22,0
